./stealing;1;2;3;4
50000;0,0042732;0,0041259;0,0039799;0,0040817
100000;0,0086169;0,0070703;0,0058911;0,0057694
150000;0,0136209;0,0106246;0,008729;0,0098833
200000;0,0188512;0,0133382;0,0102871;0,0096263
250000;0,0219375;0,0164874;0,0121199;0,0111432
300000;0,0280273;0,0201621;0,0165745;0,0200757
350000;0,0321999;0,020698;0,0211966;0,0184102
400000;0,0365473;0,0265401;0,0210112;0,018197
450000;0,0411381;0,0339208;0,0237878;0,0197
500000;0,0454932;0,0323094;0,0243416;0,0212723
550000;0,0539528;0,0373666;0,0314012;0,0278172
600000;0,0574661;0,0463188;0,0330023;0,0297076
650000;0,0635212;0,0466576;0,0343563;0,0345698
700000;0,0681701;0,0552194;0,0419897;0,0350626
750000;0,0729944;0,0488648;0,0413951;0,0399575
800000;0,0795564;0,0529391;0,039764;0,0363916
850000;0,0806849;0,0509489;0,0425001;0,0387558
900000;0,0855461;0,0591435;0,0438470;0,0469389
950000;0,0900195;0,0666641;0,0480658;0,0419829
./sharing;1;2;3;4
50000;0,0042867;0,0028875;0,0023981;0,0027181
100000;0,0086246;0,0059071;0,0048415;0,0046235
150000;0,0137267;0,0096391;0,0079748;0,0081876
200000;0,0176857;0,0125674;0,0097287;0,0091324
250000;0,0218127;0,014135;0,0115109;0,0106424
300000;0,0277157;0,0192497;0,0161779;0,0152270
350000;0,0322086;0,0218874;0,0180534;0,0170558
400000;0,0364674;0,022824;0,0196025;0,0184392
450000;0,0410407;0,0274592;0,0217716;0,0202253
500000;0,0453939;0,0294358;0,0244497;0,0216372
550000;0,0530718;0,0372265;0,0312642;0,0296782
600000;0,0575480;0,037202;0,0334652;0,0315567
650000;0,0619614;0,0427378;0,0347616;0,0326549
700000;0,066368;0,0444414;0,0384737;0,0344634
750000;0,071163;0,0478353;0,0398574;0,0359229
800000;0,0753017;0,0498771;0,0406314;0,0376844
850000;0,0804904;0,0485473;0,0450561;0,0394252
900000;0,0848071;0,0544746;0,0446561;0,0410732
950000;0,0895344;0,0624968;0,0487301;0,0435929